Date,Post Likes And Reactions (SUM),Post Comments (SUM),Post Shares (SUM)
2025-01-01,1302,87,146
2025-01-02,988,47,95
2025-01-03,263,11,51
2025-01-04,819,61,514
2025-01-05,732,24,190
2025-01-06,737,43,184
2025-01-07,566,43,142
2025-01-08,961,84,165
2025-01-09,213,20,37
2025-01-10,1270,74,164
2025-01-11,198,15,12
2025-01-12,704,41,123
2025-01-13,2783,428,186
2025-01-14,779,50,103
2025-01-15,754,28,85
2025-01-16,1838,86,177
2025-01-17,2589,119,437
2025-01-18,414,33,20
2025-01-19,295,23,23
2025-01-20,286,18,28
2025-01-21,1007,77,191
2025-01-22,1062,74,256
2025-01-23,525,54,151
2025-01-24,1814,145,622
2025-01-25,274,19,50
2025-01-26,313,34,44
2025-01-27,382,15,48
2025-01-28,652,32,96
2025-01-29,431,23,58
2025-01-30,5470,267,252
