Date,Volume of Published Messages (SUM),Total Engagements (SUM)
2025-01-01,73,1535
2025-01-02,92,1130
2025-01-03,97,325
2025-01-04,41,1394
2025-01-05,57,946
2025-01-06,94,964
2025-01-07,109,751
2025-01-08,103,1210
2025-01-09,48,270
2025-01-10,115,1508
2025-01-11,29,225
2025-01-12,98,868
2025-01-13,92,3397
2025-01-14,115,932
2025-01-15,113,867
2025-01-16,139,2101
2025-01-17,127,3145
2025-01-18,33,467
2025-01-19,37,341
2025-01-20,68,332
2025-01-21,119,1275
2025-01-22,93,1392
2025-01-23,60,730
2025-01-24,140,2581
2025-01-25,53,343
2025-01-26,46,391
2025-01-27,89,445
2025-01-28,98,780
2025-01-29,104,512
2025-01-30,151,5989
