Date,Outbound Post,Total Engagements (SUM),Post Likes And Reactions (SUM),Post Comments (SUM),Post Shares (SUM),Post Reach (SUM),Estimated Clicks (SUM)
2025-01-01,"🍔 Attention Parris Island Visitors! 🍔

Want to BBQ or picnic with your new Marine on Family Day?  We've got designated spots for you! 
📍 Check out our map here: https://mccs-info.com/4fqmvcb

The use of propane / charcoal grills and canopies are only authorized in the following designated areas:

Elliott's Beach
Scout Island
Horse Island
Depot Theater/Bunker Field
Grassy area between MCX and Fire Department (LSST)

🚫 Picnicking in parking lots is prohibited.
🌳 DO NOT BBQ next to the MCX under the large live oak trees – this is a fire hazard. 

Got questions? Just ask! We're here to help.",19,19,0,0,4859,0
2025-01-01,"Please pick up your corsages at the Douglas Visitor Center (Right Next to the “we make Marines” sign).

Corsages may be picked up Thursday from 0600-1600 and Friday 0600-1200. Please keep in mind when picking up Thursday you will need a cooler to keep the corsage cold until Friday. 

We also have extra corsages available while supplies last if you would like to purchase one to wear on graduation day!

For more information: 843-228-1555 or SC.RecruitPhoto@usmc-mccs.org",10,10,0,0,2656,0
2025-01-01,"Rise & Shine! Get your coffee fix with Java Café! (Located inside the Douglas Visitors' Center) ☕ 

Check out our menu: https://southcarolina.usmc-mccs.org/recruit-families/dining-options/java-cafe

For more information: 843-228-4685",6,6,0,0,2060,0
2025-01-01,"🐴 🎉 Happy New Year from Stepp Stables! Thanks to all our boarders and riders for spending 2024 with us - we hope you love our trails and facilities as much as we do!

To all our volunteers and staff members who keep this place running - we couldn't do it without you. Thank you for all your hard work, and cheers to 2025! 🎊",63,54,9,0,1150,0
2025-01-01,"🎆 Happy New Year to all Marines and their families! As we step into 2025, we honor the strength, resilience, and dedication that you and your family bring to our nation. Thank you for your service and sacrifice – here’s to a bright year ahead!",7,7,0,0,188,0
2025-01-01,"🎆 Happy New Year to all Marines and their families! As we step into 2025, we honor the strength, resilience, and dedication that you and your family bring to our nation. Thank you for your service and sacrifice – here’s to a bright year ahead!",21,18,0,3,163,0
2025-01-01,"🎆 Happy New Year to all Marines and their families! As we step into 2025, we honor the strength, resilience, and dedication that you and your family bring to our nation. Thank you for your service and sacrifice – here’s to a bright year ahead!",0,0,0,0,937,0
2025-01-01,"🎉 Happy New Year to our Marines and their families! As we step into 2025, we continue to honor the strength, resilience, and dedication that you and your family bring to our nation. Thank you for your service and sacrifice - here’s to a bright year ahead!

#mcrd #mcrdsandiego #happynewyear #newyear #2025",207,175,21,11,3402,0
2025-01-01,"🎆 Happy New Year to our Marines and their families! As we step into 2025, we honor the strength, resilience, and dedication that you and your family bring to our nation. Thank you for your service and sacrifice – here’s to a bright year ahead!",24,21,0,3,583,0
2025-01-01,"🎆 Happy New Year to our Marines and their families! As we step into 2025, we honor the strength, resilience, and dedication that you and your family bring to our nation. Thank you for your service and sacrifice – here’s to a bright year ahead!",63,50,4,9,2835,0
