Outbound Post,Total Engagements (SUM),Post Likes And Reactions (SUM),Post Comments (SUM),Post Shares (SUM),Estimated Clicks (SUM),Post Reach (SUM)
💛💛💛 Echo Company Families had the opportunity to meet and dine with the Drill Instructors responsible for transforming their sons and daughters into United States Marines!!!💛💛💛,2585,2360,141,84,0,103395
"Join us on Wednesday for a Historical Behind the Scenes Tour of Parris Island! The tours leave from the Douglas Visitors' Center, first tour at 11:00 and the second tour at 12:00. 
 We can accommodate the majority of the standby line usually on either the 11:00 or 12:00 tours so please feel free to stop by and enjoy this opportunity!!",2573,2085,382,106,0,153145
Unveiling our 50th Anniversary logo!,1539,1434,57,48,0,28192
💛💛💛 Congratulations to the Barbee Family for being our Most Motivated Family!!!💛💛💛,1357,1281,52,24,0,84150
"Our NEWLY RENOVATED cabin at Del Mar Beach is now available for rent! 

🐚 Ocean-facing Queen bed
🐬 2-bed loft above the kitchen 
🌴 Backyard BBQ & fire pit 
💸 $106-122/night (rank dependent, winter rates end March 1)

Reserve this cabin by clicking the link in our bio, or send to someone who might be interested! 👀 All Active Duty, Retirees, Reservists, and DoD employees are eligible to book.",1120,572,61,487,0,21845
"Increased security at all Camp Lejeune and New River gates. Please visit installation website for more information at:

Camp Lejeune: https://www.lejeune.marines.mil/News/Article/Article/4021493/installation-security-advisory/

New River: https://www.newriver.marines.mil/News/Article/Article/4021492/installation-security-advisory/",910,411,37,462,0,77827
💛💛💛 Echo Company Families caught a glimpse of their new Marines at today’s Motivational Run!!!💛💛💛,626,592,18,16,0,26070
"Attention Friends and Families of New Marines!

We invite you to join your new Marine during the Family Meet & Greet Dinner hosted every Wednesday from 3:00-7:00 PM before Boot Camp Graduation at MCRD San Diego! This special evening will be an unforgettable opportunity to share a meal with your Marine and meet their Drill Instructors.

🎟️ 𝗧𝗶𝗰𝗸𝗲𝘁𝘀 𝗮𝗿𝗲 𝗹𝗶𝗺𝗶𝘁𝗲𝗱 and available on a first-come, first-served basis— don’t wait to secure your spot!

For more information or to purchase tickets, visit: https://sandiego.usmc-mccs.org/recruit-families/family-meet-and-greet-dinner

#newmarine #marinegraduation #mcrdsandiego #meetandgreet #mcrd",620,563,33,24,0,37957
"🚨 50% SOLD OUT! 🚨 
Our 17.75K on March 22, 2025 is filling up fast! Don’t miss your chance to run with us—secure your spot today before it’s too late! 🏃‍♂️💨
Sign Up today on marinemarathon.com
#runwiththemarines #marinecorps1775k",515,474,12,29,0,12491
"🚨 Hurry, 70% of spots are SOLD OUT for the 17.75K! 🚨

Don’t miss your chance to run the 17.75K LIVE and secure exclusive access into the 50th Marine Corps Marathon before registration opens to the public! 🏃‍♂️🏃‍♀️

Register here: https://register.hakuapp.com/?event=b7fb932fb53e958b7977

Secure your spot today and be part of the action! 💥",503,477,6,20,14,8561
💙💙💙 November Company Families caught a glimpse of their new Marines at today’s Motivational Run!!!💙💙💙,426,394,20,12,0,18979
