Day Of Week,Time Of Day,Total Engagements (SUM)
Sunday,00:00,8
Sunday,01:00,15
Sunday,02:00,192
Sunday,03:00,116
Sunday,04:00,0
Sunday,05:00,0
Sunday,06:00,100
Sunday,07:00,0
Sunday,08:00,0
Sunday,09:00,30
Sunday,10:00,0
Sunday,11:00,781
Sunday,12:00,23
Sunday,13:00,30
Sunday,14:00,45
Sunday,15:00,10
Sunday,16:00,82
Sunday,17:00,270
Sunday,18:00,85
Sunday,19:00,328
Sunday,20:00,46
Sunday,21:00,53
Sunday,22:00,20
Sunday,23:00,312
Monday,00:00,375
Monday,01:00,76
Monday,02:00,6
Monday,03:00,19
Monday,04:00,1
Monday,05:00,0
Monday,06:00,60
Monday,07:00,0
Monday,08:00,24
Monday,09:00,144
Monday,10:00,398
Monday,11:00,57
Monday,12:00,2805
Monday,13:00,97
Monday,14:00,153
Monday,15:00,387
Monday,16:00,45
Monday,17:00,44
Monday,18:00,44
Monday,19:00,287
Monday,20:00,26
Monday,21:00,17
Monday,22:00,30
Monday,23:00,43
Tuesday,00:00,47
Tuesday,01:00,17
Tuesday,02:00,38
Tuesday,03:00,93
Tuesday,04:00,0
Tuesday,05:00,0
Tuesday,06:00,24
Tuesday,07:00,15
Tuesday,08:00,67
Tuesday,09:00,98
Tuesday,10:00,114
Tuesday,11:00,171
Tuesday,12:00,533
Tuesday,13:00,287
Tuesday,14:00,1018
Tuesday,15:00,53
Tuesday,16:00,65
Tuesday,17:00,89
Tuesday,18:00,291
Tuesday,19:00,503
Tuesday,20:00,37
Tuesday,21:00,20
Tuesday,22:00,28
Tuesday,23:00,130
Wednesday,00:00,124
Wednesday,01:00,26
Wednesday,02:00,31
Wednesday,03:00,66
Wednesday,04:00,4
Wednesday,05:00,23
Wednesday,06:00,162
Wednesday,07:00,54
Wednesday,08:00,92
Wednesday,09:00,112
Wednesday,10:00,1701
Wednesday,11:00,481
Wednesday,12:00,334
Wednesday,13:00,176
Wednesday,14:00,625
Wednesday,15:00,223
Wednesday,16:00,427
Wednesday,17:00,89
Wednesday,18:00,442
Wednesday,19:00,164
Wednesday,20:00,64
Wednesday,21:00,16
Wednesday,22:00,19
Wednesday,23:00,61
Thursday,00:00,19
Thursday,01:00,30
Thursday,02:00,51
Thursday,03:00,17
Thursday,04:00,0
Thursday,05:00,0
Thursday,06:00,57
Thursday,07:00,7
Thursday,08:00,2971
Thursday,09:00,797
Thursday,10:00,209
Thursday,11:00,1205
Thursday,12:00,116
Thursday,13:00,94
Thursday,14:00,52
Thursday,15:00,210
Thursday,16:00,177
Thursday,17:00,320
Thursday,18:00,571
Thursday,19:00,3091
Thursday,20:00,25
Thursday,21:00,56
Thursday,22:00,82
Thursday,23:00,63
Friday,00:00,233
Friday,01:00,47
Friday,02:00,62
Friday,03:00,46
Friday,04:00,0
Friday,05:00,9
Friday,06:00,82
Friday,07:00,14
Friday,08:00,64
Friday,09:00,1794
Friday,10:00,176
Friday,11:00,1210
Friday,12:00,927
Friday,13:00,617
Friday,14:00,241
Friday,15:00,1854
Friday,16:00,165
Friday,17:00,74
Friday,18:00,141
Friday,19:00,538
Friday,20:00,103
Friday,21:00,61
Friday,22:00,28
Friday,23:00,64
Saturday,00:00,88
Saturday,01:00,7
Saturday,02:00,7
Saturday,03:00,104
Saturday,04:00,3
Saturday,05:00,0
Saturday,06:00,12
Saturday,07:00,0
Saturday,08:00,1063
Saturday,09:00,219
Saturday,10:00,370
Saturday,11:00,206
Saturday,12:00,29
Saturday,13:00,4
Saturday,14:00,5
Saturday,15:00,10
Saturday,16:00,44
Saturday,17:00,19
Saturday,18:00,0
Saturday,19:00,67
Saturday,20:00,10
Saturday,21:00,18
Saturday,22:00,43
