Date,Total Engagements (SUM),Post Likes And Reactions (SUM),Post Comments (SUM),Post Shares (SUM),Post Reach (SUM),Estimated Clicks (SUM)
2025-01-01,1538,1305,87,146,156882,0
2025-01-02,1136,994,47,95,82110,69
2025-01-03,326,264,11,51,56758,100
2025-01-04,1394,819,61,514,120171,52
2025-01-05,954,737,27,190,81569,119
2025-01-06,969,742,43,184,90402,169
2025-01-07,762,573,47,142,136123,80
2025-01-08,1217,968,84,165,95431,82
2025-01-09,277,220,20,37,33213,226
2025-01-10,1508,1270,74,164,117822,125
2025-01-11,229,202,15,12,30253,0
2025-01-12,874,705,46,123,88890,612
2025-01-13,3400,2786,428,186,237553,68
2025-01-14,933,780,50,103,81397,66
2025-01-15,870,757,28,85,112550,38
2025-01-16,2105,1842,86,177,226566,1013
2025-01-17,3153,2597,119,437,274662,482
2025-01-18,467,414,33,20,34960,0
2025-01-19,343,297,23,23,46971,41
2025-01-20,332,286,18,28,51071,27
2025-01-21,1276,1008,77,191,150934,23
2025-01-22,1404,1074,74,256,173577,145
2025-01-23,783,576,56,151,105901,0
2025-01-24,2589,1822,145,622,195534,100
2025-01-25,344,275,19,50,74162,52
2025-01-26,391,313,34,44,39607,15
2025-01-27,452,389,15,48,82224,165
2025-01-28,780,652,32,96,101901,12
2025-01-29,515,434,23,58,69421,38
2025-01-30,5994,5475,267,252,474629,25
